Artist,Gender,GrammyWinner,GrammyNomminee,YearStarted
2 Chainz,0,1,0,1997
21 Savage,0,1,0,2012
42 Dugg,0,0,0,2017
50 Cent,0,1,0,1996
6ix9ine,0,0,0,2012
6LACK,0,0,1,2011
9lokknine,0,0,0,2017
A Boogie Wit da Hoodie,0,0,0,2016
A$AP Ferg,0,0,0,2007
A$AP Rocky,0,0,1,2007
Ace Hood,0,0,0,2006
Adrian Marcel,0,0,0,2012
Alessia Cara,1,1,0,2014
Alicia Keys,1,1,0,1996
Amber Coffman,1,0,0,2005
Andre 3000,0,1,0,1991
ATR Son Son,0,0,0,2020
August Alsina,0,0,0,2007
B.o.B.,0,0,1,2006
Bad Bunny,0,1,0,2013
Ball Greezy,0,0,0,2009
bbno$,0,0,0,2015
Bebe Rexha,1,1,0,2010
Belly,0,0,1,2001
Beyonce,1,1,0,1997
BIA,1,0,0,2014
Big Sean,0,0,1,2007
Billy Ray Cyrus,0,1,0,1989
Birdman,0,0,0,1990
BJ The Chicago Kid,0,0,1,2001
BlocBoy JB,0,0,0,2012
Brandy ,1,1,0,1993
Brent Faiyaz,0,1,0,2013
Bruno Mars,0,1,0,2004
Bryson Tiller,0,0,1,2011
Calvin Harris,0,1,0,2002
Camila Cabello,1,0,1,2012
Cardi B,1,0,1,2015
Casino,0,0,0,2013
Cedric Gervais,0,1,0,2002
Cee Lo Green,0,1,0,1994
Chance the Rapper,0,1,0,2011
Charli XCX,1,0,1,2008
Charlie Puth,0,0,1,2009
Chief Keef,0,0,0,2011
Chimamanda Ngozi Adichie,1,0,0,2003
Chris Brown,0,1,0,2004
Ciara,1,1,0,2002
City Girls,1,0,0,2017
D.R.A.M.,0,0,1,2009
DaBaby,0,0,1,2014
Daft Punk,0,1,0,1993
Daniel Caesar,0,1,0,2014
DaniLeigh,1,0,0,2013
DeJ Loaf,1,0,0,2011
Detail,0,1,0,2005
Diggy,0,0,0,2009
DJ ESCO,0,0,0,2008
DJ Khaled,0,1,0,1998
Doja Cat,1,0,1,2012
Don Toliver,0,0,0,2017
Drake,0,1,0,2001
