Artist_1,Artist_2
2 Chainz,A$AP Rocky
2 Chainz,B.o.B.
2 Chainz,Big Sean
2 Chainz,Chance the Rapper
2 Chainz,Drake
2 Chainz,Gucci Mane
2 Chainz,Jason Derulo
2 Chainz,Jeezy
2 Chainz,Jhene Aiko
2 Chainz,Juicy J
2 Chainz,Kanye West
2 Chainz,Kcamp
2 Chainz,Kendrick Lamar
2 Chainz,Lil Wayne
2 Chainz,Nicki Minaj
2 Chainz,Pharrell Williams
2 Chainz,Pusha T
2 Chainz,Quavo
2 Chainz,TeeFLii
2 Chainz,Travis Scott
2 Chainz,Trey Songz
2 Chainz,Ty Dolla $ign
2 Chainz,Wiz Khalifa
2 Chainz,YG
21 Savage,Cardi B
21 Savage,DJ Khaled
21 Savage,Drake
21 Savage,Future
21 Savage,Metro Boomin
21 Savage,Post Malone
42 Dugg,Lil Baby
50 Cent,LoveRance
50 Cent,Pop Smoke
50 Cent,Roddy Ricch
6ix9ine,A Boogie Wit da Hoodie
6ix9ine,Murda Beatz
6ix9ine,Nicki Minaj
6LACK,Khalid
6LACK,Ty Dolla $ign
9lokknine,YNW Melly
A Boogie Wit da Hoodie,Chris Brown
A Boogie Wit da Hoodie,Kodak Black
A Boogie Wit da Hoodie,Yo Gotti
A$AP Ferg,Future
A$AP Ferg,Nicki Minaj
A$AP Rocky,Cardi B
A$AP Rocky,Drake
A$AP Rocky,Famous Dex
A$AP Rocky,G-Eazy
A$AP Rocky,Kendrick Lamar
A$AP Rocky,Skrillex
Ace Hood,Chris Brown
Ace Hood,Future
Ace Hood,Rick Ross
Adrian Marcel,Sage the Gemini
Alessia Cara,Khalid
Alessia Cara,Logic
Alicia Keys,Nicki Minaj
Amber Coffman,J. Cole
Andre 3000,Beyonce
Andre 3000,Jay Z
Andre 3000,Jeezy
ATR Son Son,Rod Wave
August Alsina,Chris Brown
August Alsina,DJ Khaled
August Alsina,Future
August Alsina,Jeremih
August Alsina,Nicki Minaj
August Alsina,Rick Ross
August Alsina,Trinidad James
B.o.B.,Juicy J
B.o.B.,Kendrick Lamar
B.o.B.,Kris Stephens
B.o.B.,Priscilla
B.o.B.,T Pain
B.o.B.,T.I.
B.o.B.,Ty Dolla $ign
Bad Bunny,Cardi B
Bad Bunny,J Balvin
Ball Greezy,Lil' Duval
Ball Greezy,Snoop Dogg
bbno$,Y2K
Bebe Rexha,G-Eazy
Belly,The Weeknd
Beyonce,Chimamanda Ngozi Adichie
Beyonce,DJ Khaled
Beyonce,Jay Z
Beyonce,Nicki Minaj
BIA,Russ
Big Sean,Calvin Harris
Big Sean,Chris Brown
Big Sean,DeJ Loaf
Big Sean,Drake
Big Sean,E-40
Big Sean,Jay Z
Big Sean,Jeezy
Big Sean,Jhene Aiko
Big Sean,Juicy J
Big Sean,Kanye West
Big Sean,Katy Perry
Big Sean,Lil Wayne
Big Sean,Nicki Minaj
Big Sean,Pharrell Williams
Big Sean,Pusha T
Big Sean,Roscoe Dash
Big Sean,Wiz Khalifa
Big Sean,YG
Billy Ray Cyrus,Lil Nas X
Birdman,Future
Birdman,Lil Wayne
Birdman,Mack Maine
Birdman,Nicki Minaj
BJ The Chicago Kid,ScHoolboy Q
BlocBoy JB,Drake
Brandy ,Chris Brown
Brent Faiyaz,GoldLink 
Brent Faiyaz,Shy Glizzy
Bruno Mars,Cardi B
Bruno Mars,Gucci Mane
Bruno Mars,Kodak Black
Bruno Mars,Major Lazer
Bruno Mars,Mystic
Bruno Mars,Tyga
Bryson Tiller,DJ Khaled
Bryson Tiller,Rihanna
Calvin Harris,Frank Ocean
Calvin Harris,Katy Perry
Calvin Harris,Migos
Calvin Harris,Pharrell Williams
Camila Cabello,Machine Gun Kelly
Cardi B,City Girls
Cardi B,DJ Khaled
Cardi B,G-Eazy
Cardi B,J Balvin
Cardi B,Kehlani
Cardi B,Lil Nas X
Cardi B,Megan Thee Stallion
